Year,Level,Rank,Company,Headquarters,Title Name,Compensation
2021,Engineering - SWE - 4 - Principal Engineer (V) (15+ YoE),4,Google,"Mountain View, CA",L7,"$800,000"
2021,Engineering - SWE - 4 - Principal Engineer (V) (15+ YoE),5,Pinterest,"San Francisco, CA",L6,"$750,000"
2021,Engineering - SWE - 4 - Principal Engineer (V) (15+ YoE),6,Apple,"Cupertino, CA",ICT6,"$750,000"
2021,Engineering - SWE - 4 - Principal Engineer (V) (15+ YoE),7,Microsoft,"Redmond, WA",Partner,"$650,000"
2022,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),1,Two Sigma,"New York, NY",L1,"$274,000"
2022,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),2,Stripe,"San Francisco, CA",L1,"$266,000"
2022,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),3,Cruise,"San Francisco, CA",L3,"$238,000"
2022,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),4,Roblox,"San Mateo, CA",IC1,"$234,000"
2022,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),5,LinkedIn,"Sunnyvale, CA",Software Engineer,"$226,000"
2022,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),6,Databricks,"San Francisco, CA",L3,"$221,000"
2022,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),7,Waymo,"Mountain View, CA",L3,"$220,000"
2022,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),1,Databricks,"San Francisco, CA",L4,"$443,000"
2022,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),2,Cruise,"San Francisco, CA",L4,"$361,000"
2022,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),3,Roblox,"San Mateo, CA",IC2 / IC3,"$354,000"
2022,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),4,Snowflake,"Bozeman, MT",IC2,"$330,000"
2022,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),4,Two Sigma,"New York, NY",L2 / L3,"$330,000"
2022,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),5,ByteDance,"Beijing, China",2-1,"$323,000"
2022,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),6,Stripe,"San Francisco, CA",L2,"$320,000"
2022,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),7,Airbnb,"San Francisco, CA",G8,"$318,000"
2022,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),1,Databricks,"San Francisco, CA",L5,"$552,000"
2022,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),2,Cruise,"San Francisco, CA",L5,"$551,000"
2022,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),3,Netflix,"Los Gatos, CA",L5,"$550,000"
2022,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),4,Stripe,"San Francisco, CA",L3,"$488,000"
2022,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),5,Snowflake,"Bozeman, MT",IC3,"$466,000"
2022,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),6,Instacart,"San Francisco, CA",L6,"$465,000"
2022,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),7,LinkedIn,"Sunnyvale, CA",Staff Software Engineer,"$458,000"
2022,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),1,Stripe,"San Francisco, CA",L4,"$688,000"
2022,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),2,Coinbase,Remote-first,IC6,"$673,000"
2022,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),3,Pinterest,"San Francisco, CA",L6,"$650,000"
2022,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),4,Airbnb,"San Francisco, CA",G10,"$601,000"
2022,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),5,Waymo,"Mountain View, CA",L6,"$590,000"
2022,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),6,Facebook,"Menlo Park, CA",E6,"$567,000"
2022,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),7,ByteDance,"Beijing, China",3-1,"$564,000"
2022,Engineering - SWE - 4 - Principal Engineer (V) (15+ YoE),1,Facebook,"Menlo Park, CA",E7,"$1,044,000"
2022,Engineering - SWE - 4 - Principal Engineer (V) (15+ YoE),2,Stripe,"San Francisco, CA",L5,"$900,000"
2022,Engineering - SWE - 4 - Principal Engineer (V) (15+ YoE),3,Airbnb,"San Francisco, CA",G11,"$796,000"
2022,Engineering - SWE - 4 - Principal Engineer (V) (15+ YoE),4,Apple,"Cupertino, CA",ICT6,"$752,000"
2022,Engineering - SWE - 4 - Principal Engineer (V) (15+ YoE),5,Netflix,"Los Gatos, CA",L6,"$725,000"
2022,Engineering - SWE - 4 - Principal Engineer (V) (15+ YoE),6,Twitter,"San Francisco, CA",Senior Staff SWE,"$700,000"
2022,Engineering - SWE - 4 - Principal Engineer (V) (15+ YoE),7,Snap Inc.,"Santa Monica, CA",L6,"$690,000"
2023,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),1,Jane Street,"New York, NY",L1,"$325,000"
2023,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),2,Figma,"San Francisco, CA",L1,"$240,500"
2023,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),3,IMC,"Amsterdam, NH",L1,"$240,000"
2023,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),4,Roblox,"San Mateo, CA",IC1,"$238,120"
2023,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),5,Databricks,"San Francisco, CA",L3,"$230,500"
2023,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),6,LinkedIn,"Sunnyvale, CA",Software Engineer,"$220,500"
2023,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),7,Plaid,"San Francisco, CA",E3,"$220,000"
2023,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),1,Databricks,"San Francisco, CA",L4,"$380,000"
2023,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),2,IMC,"Amsterdam, NH",L2,"$350,000"
2023,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),3,Roblox,"San Mateo, CA",IC3,"$350,000"
2023,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),4,Rippling,"San Francisco, CA",L6,"$330,000"
2023,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),5,Plaid,"San Francisco, CA",E4,"$330,000"
2023,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),6,Airtable,"San Francisco, CA",IC4,"$322,000"
2023,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),7,Netflix,"Los Gatos, CA",L4,"$320,000"
2023,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),1,Databricks,"San Francisco, CA",L5,"$584,250"
2023,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),2,Netflix,"Los Gatos, CA",L5,"$535,000"
2023,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),3,Two Sigma,"New York, NY",L4,"$500,000"
2023,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),4,Coupang,"Seattle, WA",L6-I,"$492,000"
2023,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),5,Roblox,"San Mateo, CA",IC4,"$490,000"
2023,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),6,Snowflake,"Bozeman, MT",IC3,"$472,500"
2023,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),7,Plaid,"San Francisco, CA",E5,"$465,000"
2023,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),1,OpenAI,"San Francisco, CA",L5,"$925,000"
2023,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),2,Coupang,"Seattle, WA",L7-I,"$870,000"
2023,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),3,LinkedIn,"Sunnyvale, CA",Senior Staff Software Engineer,"$708,100"
2023,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),4,Stripe,"San Francisco, CA",L4,"$700,000"
2023,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),5,Plaid,"San Francisco, CA",E6,"$690,000"
2023,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),6,Snowflake,"Bozeman, MT",IC4,"$650,000"
2023,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),7,HRT,"New York, NY",L3,"$640,000"
2023,Engineering - SWE - 4 - Principal Engineer (V) (15+ YoE),1,Facebook,"Menlo Park, CA",E7,"$1,020,000"
2023,Engineering - SWE - 4 - Principal Engineer (V) (15+ YoE),2,Stripe,"San Francisco, CA",L5,"$940,700"
2023,Engineering - SWE - 4 - Principal Engineer (V) (15+ YoE),3,Pinterest,"San Francisco, CA",L7,"$870,000"
2023,Engineering - SWE - 4 - Principal Engineer (V) (15+ YoE),4,Uber,"San Francisco, CA",Senior Staff Software Engineer,"$830,000"
2023,Engineering - SWE - 4 - Principal Engineer (V) (15+ YoE),5,Apple,"Cupertino, CA",ICT6,"$825,000"
2023,Engineering - SWE - 4 - Principal Engineer (V) (15+ YoE),6,Cruise,"San Francisco, CA",L7,"$819,600"
2023,Engineering - SWE - 4 - Principal Engineer (V) (15+ YoE),7,Airbnb,"San Francisco, CA",G11,"$810,000"
2024,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),1,Jane Street,"New York, NY",L1,"$350,000"
2024,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),2,Optiver,"Amsterdam, NH",L3,"$337,500"
2024,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),3,IMC,"Amsterdam, NH",L1,"$262,500"
2024,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),4,Scale,"San Francisco, CA",L3,"$235,000"
2024,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),5,Roblox,"San Mateo, CA",IC1,"$234,333"
2024,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),6,Waymo,"Mountain View, CA",L3,"$234,000"
2024,Engineering - SWE - 0 - Entry-level Engineer (I) (0-2 YoE),7,LinkedIn,"Sunnyvale, CA",Software Engineer,"$231,500"
2024,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),1,Databricks,"San Francisco, CA",L4,"$380,000"
2024,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),2,Roblox,"San Mateo, CA",IC2,"$350,000"
2024,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),3,Netflix,"Los Gatos, CA",L4,"$325,000"
2024,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),4,Snowflake,"Bozeman, MT",IC2,"$325,000"
2024,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),5,Figma,"San Francisco, CA",L2,"$314,000"
2024,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),6,Facebook,"Menlo Park, CA",E4,"$309,900"
2024,Engineering - SWE - 1 - Engineer (II) (2-5+ YoE),7,Rippling,"San Francisco, CA",L6,"$308,750"
2024,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),1,Databricks,"San Francisco, CA",L5,"$600,000"
2024,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),2,Coupang,"San Francisco, CA",L6-I,"$599,650"
2024,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),3,Roblox,"San Mateo, CA",IC4,"$532,098"
2024,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),4,Netflix,"Los Gatos, CA",L5,"$520,000"
2024,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),5,StubHub,"New York, NY",L5,"$500,000"
2024,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),6,Plaid,"San Francisco, CA",E5,"$499,000"
2024,Engineering - SWE - 2 - Senior Engineer (III) (5+ YoE),7,OpenAI,"San Francisco, CA",L4,"$495,000"
2024,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),1,OpenAI,"San Francisco, CA",L5,"$860,000"
2024,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),2,Databricks,"San Francisco, CA",L6,"$815,000"
2024,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),3,Coupang,"Seattle, WA",L6-II,"$800,500"
2024,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),4,Broadcom,"San Jose, CA",ICB 6,"$796,000"
2024,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),5,Snowflake,"Bozeman, MT",IC4,"$750,000"
2024,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),6,LinkedIn,"Sunnyvale, CA",Senior Staff Software Engineer,"$728,000"
2024,Engineering - SWE - 3 - Staff Engineer (IV) (10+ YoE),7,Facebook,"Menlo Park, CA",E6,"$690,000"
2024,Engineering - SWE - 4 - Principal Engineer (V) (15+ YoE),1,Facebook,"Menlo Park, CA",E7,"$1,455,000"
